NC_004003.1	376852	Goatpox virus Pellor
NC_003027.1	376849	Lumpy skin disease virus NI-2490
NC_001659.2	10497	African swine fever virus
NC_004002.1	10266	Sheeppox virus
NC_003391.1	28873	Camelpox virus
NC_001563.2	11082	West Nile virus
NC_043487.1	11049	Lelystad virus
NC_001654.1	36370	Jembrana disease virus
NC_039210.1	12118	Foot-and-mouth disease virus O
NC_012735.1	164416	Wesselsbron virus
NC_001437.1	11072	Japanese encephalitis virus
NC_001809.1	11086	Louping ill virus
NC_001672.1	11084	Tick-borne encephalitis virus
NC_038574.1	201490	Equine encephalosis virus
NC_039237.1	54315	Bovine viral diarrhea virus 2
NC_039231.1	38525	avian metapneumovirus
NC_039223.1	2560319	avian paramyxovirus 1
NC_039197.1	152219	Menangle virus
NC_038912.1	358769	Classical swine fever virus - Alfort/187
NC_038861.1	11149	Transmissible gastroenteritis virus
NC_034386.1	194540	Nairobi sheep disease virus
NC_028255.1	50713	Cocal virus
NC_025353.1	198833	Vesicular stomatitis Alagoas virus
NC_024473.1	11280	Vesicular stomatitis New Jersey virus
NC_023176.1	412969	Porcine pestivirus isolate Bungowannah
NC_001906.3	3052223	Henipavirus hendraense
NC_008250.2	1006061	avihepatovirus A1
NC_014395.1	11588	Rift Valley fever virus
NC_013396.1	449133	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)
NC_013036.1	104388	anatid alphaherpesvirus 1
NC_012437.1	622438	Duck astrovirus C-NGB
NC_011349.1	390157	Senecavirus A
NC_006383.2	2593991	peste-des-petits-ruminants virus
NC_006558.1	59300	Getah virus
NC_006296.2	11242	Rinderpest virus (strain Kabete O)
NC_006151.1	10345	Suid alphaherpesvirus 1
NC_001491.2	10326	Equid alphaherpesvirus 1
NC_006023.1	40051	Bluetongue virus
NC_006021.1	40050	Orbivirus alphaequi
NC_005302.1	3052518	Orthonairovirus haemorrhagiae
NC_005148.1	85708	Porcine circovirus 2
NC_004178.1	10995	Infectious bursal disease virus
NC_003985.1	118140	Teschovirus A
NC_003908.1	11039	Western equine encephalitis virus
NC_003899.1	11021	Eastern equine encephalitis virus
NC_003436.1	28295	Porcine epidemic diarrhea virus
NC_003243.1	90961	Lyssavirus australis
NC_002532.2	11047	Equine arteritis virus
NC_002728.1	3052225	Henipavirus nipahense
NC_002551.1	35612	Vesicular exanthema of swine virus
NC_002531.1	35252	Alcelaphine gammaherpesvirus 1
NC_001560.1	11277	Vesicular stomatitis Indiana virus
NC_001542.1	11292	Lyssavirus rabies
NC_001452.1	2169971	Visna-maedi virus
NC_001449.1	11036	Venezuelan equine encephalitis virus
NC_001414.1	11901	Bovine leukemia virus
NC_002023.1	211044	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
X54521.1	12075	Swine vesicular disease virus
